Team,Team Value,Rev ($M), Op Inc ($M) ,Debt/ Value,Player Exps,Gate Rev, Wins-to-player cost ,Rev per Fan,Metro Pop,Facebook Friends,Twitter Followers,Capacity,Avg Tix Price,Playoff Contender
Atlanta Hawks,$316 ,$99 ,($18.70),75%,$65 ,$17 ,105,$10 ,5.4,291505,109029.00,18238.00,40.00,Yes
Boston Celtics,$730 ,$143 ,$18.70 ,22%,$69 ,$58 ,137,$20 ,5,6871597,916615.00,18624.00,69.00,Yes
Brooklyn Nets,$530 ,$84 ,($16.60),53%,$58 ,$14 ,59,$4 ,19.1,748966,212137.00,17732.00,37.00,No
Charlotte Bobcats,$315 ,$93 ,($13.30),48%,$52 ,$14 ,21,$25 ,1.8,152961,96705.00,19077.00,29.00,No
Chicago Bulls,$800 ,$162 ,$34.20 ,7%,$62 ,$47 ,136,$13 ,9.6,7911776,636775.00,20917.00,68.00,Yes
Cleveland Cavaliers,$434 ,$128 ,$18.60 ,46%,$57 ,$24 ,57,$41 ,2.1,926913,152505.00,20562.00,49.00,No
Dallas Mavericks,$685 ,$137 ,$13.00 ,29%,$67 ,$35 ,83,$15 ,6.4,2447318,264565.00,19200.00,49.00,Yes
Denver Nuggets,$427 ,$110 ,$12.00 ,5%,$53 ,$26 ,129,$27 ,2.6,904779,141084.00,19155.00,47.00,Yes
Detroit Pistons,$400 ,$125 ,$7.70 ,46%,$59 ,$15 ,65,$19 ,4.4,459890,116533.00,22076.00,41.00,No
Golden State Warriors,$555 ,$127 ,$29.10 ,27%,$55 ,$31 ,64,$19 ,4.3,385970,148346.00,19596.00,34.00,No
Houston Rockets,$568 ,$135 ,$26.60 ,18%,$52 ,$28 ,102,$16 ,5.9,627870,159876.00,18500.00,49.00,No
Indiana Pacers,$383 ,$98 ,$10.90 ,39%,$48 ,$15 ,175,$32 ,1.7,215140,125801.00,18165.00,31.00,Yes
Los Angeles Clippers,$430 ,$108 ,$9.10 ,0%,$62 ,$29 ,121,$10 ,12.9,630988,226481.00,18997.00,51.00,Yes
Los Angeles Lakers,"$1,000 ",$197 ,$47.80 ,11%,$76 ,$74 ,104,$24 ,12.9,15760776,2914852.00,18997.00,120.00,Yes
Memphis Grizzlies,$377 ,$96 ,($12.50),29%,$63 ,$15 ,116,$36 ,1.3,207132,121846.00,18119.00,25.00,Yes
Miami Heat,$625 ,$150 ,$14.90 ,18%,$68 ,$61 ,178,$19 ,5.6,7349303,997307.00,19600.00,67.00,Yes
Milwaukee Bucks,$312 ,$87 ,($0.50),18%,$54 ,$14 ,89,$24 ,1.6,234029,99291.00,18600.00,42.00,No
Minnesota Timberwolves,$364 ,$96 ,($4.50),21%,$52 ,$16 ,78,$15 ,3.3,262307,128671.00,19356.00,32.00,No
New Orleans Hornets,$340 ,$100 ,$3.30 ,37%,$59 ,$22 ,55,$46 ,1.2,299447,107743.00,17188.00,34.00,No
New York Knicks,"$1,100 ",$243 ,$83.20 ,0%,$68 ,$94 ,87,$21 ,19.1,3338319,490302.00,19033.00,119.00,Yes
Oklahoma City Thunder,$475 ,$127 ,$29.90 ,29%,$54 ,$43 ,209,$71 ,1.2,1763689,384363.00,18203.00,51.00,Yes
Orlando Magic,$470 ,$126 ,$12.00 ,26%,$76 ,$35 ,79,$40 ,2.1,1665269,1088992.00,18846.00,56.00,Yes
Philadelphia 76ers,$418 ,$107 ,($0.80),36%,$60 ,$26 ,127,$10 ,6,306497,156236.00,20318.00,39.00,Yes
Phoenix Suns,$474 ,$121 ,$13.00 ,39%,$60 ,$28 ,86,$18 ,4.4,741558,153465.00,18422.00,62.00,No
Portland Trail Blazers,$457 ,$117 ,($10.10),23%,$70 ,$31 ,62,$34 ,2.2,422941,123708.00,20796.00,48.00,No
Sacramento Kings,$525 ,$96 ,$2.60 ,19%,$45 ,$18 ,72,$24 ,2.1,237707,105125.00,17317.00,48.00,No
San Antonio Spurs,$527 ,$135 ,$14.70 ,9%,$65 ,$48 ,167,$47 ,2.1,1440729,239508.00,18581.00,55.00,Yes
Toronto Raptors,$405 ,$121 ,$18.80 ,40%,$49 ,$31 ,73,$13 ,6,378894,136399.00,19800.00,57.00,No
Utah Jazz,$432 ,$111 ,$12.10 ,0%,$54 ,$31 ,104,$67 ,1,364706,138590.00,19911.00,42.00,Yes
Washington Wizards,$397 ,$102 ,$1.70 ,33%,$52 ,$19 ,59,$10 ,5.7,173114,115048.00,20308.00,34.00,No
